Main Account;Account;Sub Account;Domain Name;IDN
softgarden;Aker;Aker BP ASA;akerbp.eu;akerbp.eu
softgarden;Aker;Aker BP ASA;aker-bp.eu;aker-bp.eu
softgarden;Aker;Aker BP ASA;akerbp.global;akerbp.global
softgarden;Aker;Aker BP ASA;akerbp.group;akerbp.group
softgarden;Aker;Aker BP ASA;akerbp.info;akerbp.info
softgarden;Aker;Aker BP ASA;akerbp.net;akerbp.net
softgarden;Aker;Aker BP ASA;aker-bp.net;aker-bp.net
softgarden;Aker;Aker BP ASA;akerbp.no;akerbp.no
softgarden;Aker;Aker BP ASA;aker-bp.no;aker-bp.no
softgarden;Aker;Aker BP ASA;akerbp.org;akerbp.org
softgarden;Aker;Aker BP ASA;aker-bp.org;aker-bp.org
softgarden;Aker;Aker BP ASA;akerbp.ru;akerbp.ru
softgarden;Aker;Aker BP ASA;akerbp.se;akerbp.se
softgarden;Aker;Aker BP ASA;aker-bp.se;aker-bp.se
softgarden;Aker;Aker BP ASA;akerbp.services;akerbp.services
softgarden;Aker;Aker BP ASA;akerbp.uk;akerbp.uk
softgarden;Aker;Aker BP ASA;akerbp.us;akerbp.us
softgarden;Aker;Aker BP ASA;akerbpasa.com;akerbpasa.com
softgarden;Aker;Aker BP ASA;akerbp-asa.com;akerbp-asa.com
softgarden;Aker;Aker BP ASA;akerbpasa.net;akerbpasa.net
softgarden;Aker;Aker BP ASA;akerbpasa.no;akerbpasa.no
softgarden;Aker;Aker BP ASA;akerbp-asa.no;akerbp-asa.no
softgarden;Aker;Aker BP ASA;aker-bpasa.no;aker-bpasa.no
softgarden;Aker;Aker BP ASA;aker-bp-asa.no;aker-bp-asa.no
softgarden;Aker;Aker BP ASA;akerbpasa.org;akerbpasa.org
softgarden;Aker;Aker BP ASA;livreddenderegler.no;livreddenderegler.no
softgarden;Aker;Aker Energy;aker.energy;aker.energy
softgarden;Aker;Aker Energy;akerenergy.cn;akerenergy.cn
softgarden;Aker;Aker Energy;aker-energy.co.uk;aker-energy.co.uk
softgarden;Aker;Aker Energy;akerenergy.com;akerenergy.com
softgarden;Aker;Aker Energy;aker-energy.com;aker-energy.com
softgarden;Aker;Aker Energy;akerenergy.net;akerenergy.net
softgarden;Aker;Aker Energy;akerenergy.no;akerenergy.no
softgarden;Aker;Aker Energy;aker-energy.no;aker-energy.no
softgarden;Aker;Aker Energy;akerenergy.org;akerenergy.org
softgarden;Aker;Aker Energy;aker-energy.uk;aker-energy.uk
softgarden;Aker;Aker Energy;akerenergy.us;akerenergy.us
softgarden;Aker;Aker Energy;aker-energy.us;aker-energy.us
softgarden;Aker;Aker Energy;akernergy.com;akernergy.com
softgarden;Aker;Aker Floating Production ASA;akerfloating.com;akerfloating.com
softgarden;Aker;Aker Floating Production ASA;aker-floating.com;aker-floating.com
softgarden;Aker;Aker Floating Production ASA;akerfloating.no;akerfloating.no
softgarden;Aker;Aker Floating Production ASA;aker-floating.no;aker-floating.no
softgarden;Aker;Aker Floating Production ASA;akerfloatingholding.com;akerfloatingholding.com
softgarden;Aker;Aker Floating Production ASA;akerfloatingproduction.com;akerfloatingproduction.com
softgarden;Aker;Aker Floating Production ASA;aker-floatingproduction.com;aker-floatingproduction.com
softgarden;Aker;Aker Floating Production ASA;akerfloatingproduction.in;akerfloatingproduction.in
softgarden;Aker;Aker Floating Production ASA;akerfloatingproduction.net;akerfloatingproduction.net
softgarden;Aker;Aker Floating Production ASA;akerfloatingproduction.no;akerfloatingproduction.no
softgarden;Aker;Aker Floating Production ASA;aker-floatingproduction.no;aker-floatingproduction.no
softgarden;Aker;Aker Floating Production ASA;akerfloatingproduction.org;akerfloatingproduction.org
softgarden;Aker;Aker Floating Production ASA;akerfp.com;akerfp.com
softgarden;Aker;Aker Floating Production ASA;aker-fp.com;aker-fp.com
softgarden;Aker;Aker Floating Production ASA;aker-fp.in;aker-fp.in
softgarden;Aker;Aker Floating Production ASA;akerfp.no;akerfp.no
softgarden;Aker;Aker Floating Production ASA;oceanoperations.com;oceanoperations.com
softgarden;Aker;Aker Pensjonskasse;akerpensjonskasse.com;akerpensjonskasse.com
softgarden;Aker;Aker Pensjonskasse;akerpensjonskasse.no;akerpensjonskasse.no
